Player,Position,Age,Left,Fee (Millions of Euros)
Rasmus Hojlund,Centre-Forward,20,Atalanta BC,73.9
Mason Mount,Attacking Midfield,24,Chelsea,64.2
Andre Onana,Goalkeeper,27,Inter,50.2
Sofyan Amrabat,Defensive Midfield,27,Fiorentina,9.0
Altay Bayindir,Goalkeeper,25,Fenerbahce,5.0
Jonny Evans,Centre-Back,35,Leicester,
Sergio Reguilon,Left-Back,26,Tottenham,
Willy Kambwala,Centre-Back,19,Man Utd U21,
Daniel Gore,Central Midfield,18,Man Utd U21,
Alex Telles,Left-Back,30,Sevilla FC,
Alvaro Carreras,Left-Back,20,Granada CF,
Eric Bailly,Centre-Back,29,Marseille,
Brandon Williams,Left-Back,23,Ipswich,
Matej Kovar,Goalkeeper,23,Sparta Prague,
Daniel Gore,Central Midfield,19,Port Vale,
