#,Player,Age,In Squad,Appearances,Goals,Assists,Yellow Cards,Second Yellow Cards,Red Cards,Substitutions in,Substitutions out,PPG,Minutes
24,Andre Onana,27,39,39,0,0,4,0,0,0,0,1.62,3540
1,Altay Bayindir,25,36,1,0,0,0,0,0,0,0,3.0,90
6,Lisandro Martinez,26,10,10,0,1,4,0,0,1,6,1.6,740
20,Diogo Dalot,25,39,38,2,3,5,1,0,2,2,1.66,3254
23,Luke Shaw,28,15,15,0,1,7,0,0,0,7,1.73,1180
19,Raphael Varane,30,33,28,1,0,2,0,0,6,6,2.0,2009
5,Harry Maguire,31,28,24,2,2,4,0,0,5,2,1.79,1695
29,Aaron Wan-Bissaka,26,21,18,0,2,4,0,0,4,5,1.28,1302
2,Victor Lindelof,29,29,26,1,1,3,0,0,7,7,1.88,1886
-,Sergio Reguilon,27,20,12,0,0,4,0,0,5,4,1.0,653
53,Willy Kambwala,19,13,6,0,0,0,0,0,5,1,2.0,122
35,Jonny Evans,36,31,24,0,1,2,0,0,10,6,1.83,1270
8,Bruno Fernandes,29,39,38,8,9,11,0,0,1,0,1.63,3385
7,Mason Mount,25,14,13,0,1,1,0,0,6,6,1.62,641
37,Kobbie Mainoo,18,25,20,2,0,3,0,0,3,11,1.8,1417
39,Scott McTominay,27,38,34,9,3,2,0,0,13,3,1.85,2154
18,Casemiro,32,22,21,5,2,6,1,0,0,7,1.71,1653
4,Sofyan Amrabat,27,28,22,0,0,6,0,0,9,7,1.59,1155
-,Hannibal,21,23,10,1,0,3,0,0,6,3,1.6,327
14,Christian Eriksen,32,31,21,1,2,1,0,0,10,7,1.33,1127
-,Donny van de Beek,26,13,2,0,0,0,0,0,2,0,1.5,21
-,Daniel Gore,19,11,2,0,0,0,0,0,2,0,3.0,29
11,Rasmus Hojlund,21,31,31,13,2,2,0,0,5,18,1.65,2255
10,Marcus Rashford,26,36,35,8,6,2,0,1,5,14,1.6,2611
17,Alejandro Garnacho,19,40,38,7,4,4,0,0,9,17,1.58,2616
21,Antony,24,33,30,2,1,4,0,0,13,14,1.6,1485
-,Jadon Sancho,23,3,3,0,0,0,0,0,3,0,2.0,76
16,Amad Diallo,21,11,4,1,0,0,1,0,4,0,1.5,98
-,Facundo Pellistri,22,29,14,0,1,0,0,0,11,2,1.21,366
9,Anthony Martial,28,23,19,2,2,0,0,0,12,7,1.32,629
-,Omari Forson,19,13,5,0,1,0,0,0,4,1,1.8,67
